Week Start,Week End,Category,Transaction Count,Transaction Value SAR,Average Ticket SAR
2025-06-29,2025-07-05,"Apparel, Clothing & Accessories",7558000,947204000,125.32468907118285
2025-06-29,2025-07-05,Bakeries & Pastries,5100000,241463000,47.3456862745098
2025-06-29,2025-07-05,Construction & Building Materials,2361000,420494000,178.09995764506564
2025-06-29,2025-07-05,Education,168000,154220000,917.9761904761905
2025-06-29,2025-07-05,Electronic & Electric Devices,1833000,202112000,110.26295690125477
2025-06-29,2025-07-05,Food & Beverages,51918000,2126081000,40.95074925844601
2025-06-29,2025-07-05,Furniture & Home Supplies,2582000,520851000,201.7238574748257
2025-06-29,2025-07-05,Gas Stations,16986000,974944000,57.39691510655834
2025-06-29,2025-07-05,Health,11179000,1052044000,94.10895428929243
2025-06-29,2025-07-05,Hotels,802000,260741000,325.11346633416457
2025-06-29,2025-07-05,Jewelry,322000,358900000,1114.5962732919254
2025-06-29,2025-07-05,Laundry Services,3042000,58408000,19.20052596975674
2025-06-29,2025-07-05,Others,40112000,2352795000,58.655639210211405
2025-06-29,2025-07-05,Professional & Business Services,16752000,1233748000,73.64780324737345
2025-06-29,2025-07-05,Public Utilities & Services,740000,56917000,76.91486486486487
2025-06-29,2025-07-05,Recreation & Culture,3197000,377133000,117.96465436346575
2025-06-29,2025-07-05,Restaurants & Cafés,56337000,1712089000,30.39013436995225
2025-06-29,2025-07-05,Telecommunication,3512000,179840000,51.207289293849655
2025-06-29,2025-07-05,Transportation,5988000,1069246000,178.56479625918504
2025-07-06,2025-07-12,"Apparel, Clothing & Accessories",7221000,875618000,121.25993629691179
2025-07-06,2025-07-12,Bakeries & Pastries,4958000,224417000,45.26361436062928
2025-07-06,2025-07-12,Construction & Building Materials,2324000,406179000,174.77581755593803
2025-07-06,2025-07-12,Education,156000,112973000,724.1858974358975
2025-07-06,2025-07-12,Electronic & Electric Devices,1621000,181412000,111.91363355953115
2025-07-06,2025-07-12,Food & Beverages,50562000,1848794000,36.56489062932637
2025-07-06,2025-07-12,Furniture & Home Supplies,2465000,489008000,198.38052738336714
2025-07-06,2025-07-12,Gas Stations,16783000,949802000,56.59310016087708
2025-07-06,2025-07-12,Health,10606000,957593000,90.28785593060532
2025-07-06,2025-07-12,Hotels,839000,281566000,335.59713945172825
2025-07-06,2025-07-12,Jewelry,292000,331300000,1134.5890410958905
2025-07-06,2025-07-12,Laundry Services,2864000,50081000,17.486382681564248
2025-07-06,2025-07-12,Others,39086000,2136916000,54.672158829248325
2025-07-06,2025-07-12,Professional & Business Services,14962000,1054964000,70.50955754578266
2025-07-06,2025-07-12,Public Utilities & Services,693000,48432000,69.88744588744589
2025-07-06,2025-07-12,Recreation & Culture,3064000,338625000,110.51729765013054
2025-07-06,2025-07-12,Restaurants & Cafés,56149000,1696484000,30.213966410799838
2025-07-06,2025-07-12,Telecommunication,3284000,151884000,46.249695493300855
2025-07-06,2025-07-12,Transportation,5643000,992172000,175.8234981392876
2025-07-13,2025-07-19,"Apparel, Clothing & Accessories",6331000,765638000,120.93476543989891
2025-07-13,2025-07-19,Bakeries & Pastries,4654000,201614000,43.32058444348947
2025-07-13,2025-07-19,Construction & Building Materials,2224000,400301000,179.99145683453239
2025-07-13,2025-07-19,Education,146000,107315000,735.0342465753424
2025-07-13,2025-07-19,Electronic & Electric Devices,1537000,168648000,109.72543916720885
2025-07-13,2025-07-19,Food & Beverages,49127000,1727017000,35.154131129521446
2025-07-13,2025-07-19,Furniture & Home Supplies,2309000,462340000,200.23386747509744
2025-07-13,2025-07-19,Gas Stations,16231000,904915000,55.75226418581726
2025-07-13,2025-07-19,Health,9791000,872878000,89.15105709324891
2025-07-13,2025-07-19,Hotels,822000,287436000,349.6788321167883
2025-07-13,2025-07-19,Jewelry,255000,291554000,1143.349019607843
2025-07-13,2025-07-19,Laundry Services,2633000,45018000,17.097607292062285
2025-07-13,2025-07-19,Others,37150000,1960974000,52.78530282637954
2025-07-13,2025-07-19,Professional & Business Services,13976000,963091000,68.9103463079565
2025-07-13,2025-07-19,Public Utilities & Services,666000,44800000,67.26726726726727
2025-07-13,2025-07-19,Recreation & Culture,2857000,302612000,105.91949597479874
2025-07-13,2025-07-19,Restaurants & Cafés,53700000,1586841000,29.550111731843575
2025-07-13,2025-07-19,Telecommunication,3096000,133150000,43.00710594315245
2025-07-13,2025-07-19,Transportation,5227000,967369000,185.0715515592118
2025-07-20,2025-07-26,"Apparel, Clothing & Accessories",6130000,748690000,122.13539967373572
2025-07-20,2025-07-26,Bakeries & Pastries,4465000,191873000,42.972676371780516
2025-07-20,2025-07-26,Construction & Building Materials,2155000,386968000,179.5675174013921
2025-07-20,2025-07-26,Education,140000,111180000,794.1428571428571
2025-07-20,2025-07-26,Electronic & Electric Devices,1444000,165142000,114.36426592797784
2025-07-20,2025-07-26,Food & Beverages,47910000,1696153000,35.40290127322062
2025-07-20,2025-07-26,Furniture & Home Supplies,2217000,443616000,200.0974289580514
2025-07-20,2025-07-26,Gas Stations,16103000,886364000,55.04340806060983
2025-07-20,2025-07-26,Health,9372000,837151000,89.32469056764832
2025-07-20,2025-07-26,Hotels,811000,291074000,358.9075215782984
2025-07-20,2025-07-26,Jewelry,245000,281474000,1148.873469387755
2025-07-20,2025-07-26,Laundry Services,2487000,43493000,17.488138319260152
2025-07-20,2025-07-26,Others,35395000,1889418000,53.38092950981777
2025-07-20,2025-07-26,Professional & Business Services,13576000,931206000,68.59207424867414
2025-07-20,2025-07-26,Public Utilities & Services,643000,42820000,66.5940902021773
2025-07-20,2025-07-26,Recreation & Culture,3145000,297346000,94.54562798092209
2025-07-20,2025-07-26,Restaurants & Cafés,52123000,1548730000,29.712986589413504
2025-07-20,2025-07-26,Telecommunication,3076000,131861000,42.86768530559168
2025-07-20,2025-07-26,Transportation,5020000,945762000,188.3988047808765
2025-07-27,2025-08-02,"Apparel, Clothing & Accessories",9211000,1118598000,121.44153729236783
2025-07-27,2025-08-02,Bakeries & Pastries,5256000,251903000,47.926750380517504
2025-07-27,2025-08-02,Construction & Building Materials,2562000,442082000,172.55347384855583
2025-07-27,2025-08-02,Education,166000,190034000,1144.7831325301204
2025-07-27,2025-08-02,Electronic & Electric Devices,1766000,194603000,110.19422423556058
2025-07-27,2025-08-02,Food & Beverages,54635000,2344124000,42.90517067813673
2025-07-27,2025-08-02,Furniture & Home Supplies,2868000,552452000,192.62622036262204
2025-07-27,2025-08-02,Gas Stations,18463000,1097439000,59.439906840708446
2025-07-27,2025-08-02,Health,11057000,1028683000,93.03454824997739
2025-07-27,2025-08-02,Hotels,1016000,353511000,347.94389763779526
2025-07-27,2025-08-02,Jewelry,331000,377907000,1141.7129909365558
2025-07-27,2025-08-02,Laundry Services,3259000,67574000,20.73458115986499
2025-07-27,2025-08-02,Others,42346000,2627222000,62.04179851697917
2025-07-27,2025-08-02,Professional & Business Services,16279000,1197461000,73.55863382271639
2025-07-27,2025-08-02,Public Utilities & Services,767000,54845000,71.50586701434159
2025-07-27,2025-08-02,Recreation & Culture,4003000,398845000,99.63652260804396
2025-07-27,2025-08-02,Restaurants & Cafés,59637000,1902222000,31.896674883042408
2025-07-27,2025-08-02,Telecommunication,3798000,193823000,51.03291205897841
2025-07-27,2025-08-02,Transportation,6616000,1212917000,183.33086457073762
2025-08-03,2025-08-09,"Apparel, Clothing & Accessories",8378000,998901000,119.22905227978038
2025-08-03,2025-08-09,Bakeries & Pastries,4928000,221732000,44.99431818181818
2025-08-03,2025-08-09,Construction & Building Materials,2447000,409450000,167.3273395995096
2025-08-03,2025-08-09,Education,161000,251786000,1563.888198757764
2025-08-03,2025-08-09,Electronic & Electric Devices,1641000,174837000,106.54296160877514
2025-08-03,2025-08-09,Food & Beverages,51976000,1927744000,37.08911805448668
2025-08-03,2025-08-09,Furniture & Home Supplies,2608000,489296000,187.61349693251535
2025-08-03,2025-08-09,Gas Stations,17226000,993775000,57.69040984558226
2025-08-03,2025-08-09,Health,9862000,881566000,89.39018454674508
2025-08-03,2025-08-09,Hotels,989000,349972000,353.8645096056623
2025-08-03,2025-08-09,Jewelry,293000,315067000,1075.3139931740614
2025-08-03,2025-08-09,Laundry Services,2914000,52588000,18.046671242278656
2025-08-03,2025-08-09,Others,39414000,2245133000,56.96283046633176
2025-08-03,2025-08-09,Professional & Business Services,15083000,1035612000,68.6608764834582
2025-08-03,2025-08-09,Public Utilities & Services,700000,47374000,67.67714285714285
2025-08-03,2025-08-09,Recreation & Culture,3663000,345581000,94.34370734370735
2025-08-03,2025-08-09,Restaurants & Cafés,56962000,1752504000,30.76619500719778
2025-08-03,2025-08-09,Telecommunication,3458000,149926000,43.35627530364373
2025-08-03,2025-08-09,Transportation,5819000,1037310000,178.26258807355217
2025-08-10,2025-08-16,"Apparel, Clothing & Accessories",8252000,985165000,119.38499757634513
2025-08-10,2025-08-16,Bakeries & Pastries,4889000,213680000,43.70627940274085
2025-08-10,2025-08-16,Construction & Building Materials,2399000,399397000,166.48478532721967
2025-08-10,2025-08-16,Education,183000,444862000,2430.9398907103823
2025-08-10,2025-08-16,Electronic & Electric Devices,1592000,169251000,106.31344221105527
2025-08-10,2025-08-16,Food & Beverages,51656000,1878839000,36.372134892364876
2025-08-10,2025-08-16,Furniture & Home Supplies,2495000,462600000,185.41082164328657
2025-08-10,2025-08-16,Gas Stations,17388000,995320000,57.24177593742811
2025-08-10,2025-08-16,Health,9641000,846233000,87.77440099574733
2025-08-10,2025-08-16,Hotels,920000,318390000,346.07608695652175
2025-08-10,2025-08-16,Jewelry,274000,298528000,1089.5182481751824
2025-08-10,2025-08-16,Laundry Services,2840000,50504000,17.783098591549297
2025-08-10,2025-08-16,Others,38245000,2172742000,56.81113871094261
2025-08-10,2025-08-16,Professional & Business Services,14836000,995544000,67.10326233486114
2025-08-10,2025-08-16,Public Utilities & Services,696000,44803000,64.37212643678161
2025-08-10,2025-08-16,Recreation & Culture,3482000,332406000,95.46410109132682
2025-08-10,2025-08-16,Restaurants & Cafés,55931000,1689992000,30.215658579320948
2025-08-10,2025-08-16,Telecommunication,3284000,136870000,41.67783191230207
2025-08-10,2025-08-16,Transportation,5780000,1036515000,179.32785467128028
2025-08-17,2025-08-23,"Apparel, Clothing & Accessories",8338000,1016470000,121.90813144639002
2025-08-17,2025-08-23,Bakeries & Pastries,4577000,194420000,42.47760541839633
2025-08-17,2025-08-23,Construction & Building Materials,2239000,389293000,173.8691380080393
2025-08-17,2025-08-23,Education,270000,1032713000,3824.862962962963
2025-08-17,2025-08-23,Electronic & Electric Devices,1463000,159163000,108.79220779220779
2025-08-17,2025-08-23,Food & Beverages,48937000,1780739000,36.38839732717576
2025-08-17,2025-08-23,Furniture & Home Supplies,2365000,448257000,189.53784355179704
2025-08-17,2025-08-23,Gas Stations,16833000,936402000,55.62894314738906
2025-08-17,2025-08-23,Health,9072000,793936000,87.51499118165785
2025-08-17,2025-08-23,Hotels,779000,272119000,349.3183568677792
2025-08-17,2025-08-23,Jewelry,243000,268493000,1104.9094650205761
2025-08-17,2025-08-23,Laundry Services,2634000,45802000,17.388762338648444
2025-08-17,2025-08-23,Others,36409000,2097932000,57.62124749375155
