Week Start,Week End,Transaction Count,Transaction Value SAR,Average Ticket SAR,Data Status
2020-05-10,2020-05-16,38132000,6002585000,157.41594985838665,Validated historical
2020-05-17,2020-05-23,41324000,6491277000,157.08249443422707,Validated historical
2020-05-24,2020-05-30,29082000,3253178000,111.86225156454164,Validated historical
2020-05-31,2020-06-06,50281000,7854373000,156.20956226009824,Validated historical
2020-06-07,2020-06-13,48209000,7295830000,151.33750959364434,Validated historical
2020-06-14,2020-06-20,46704000,7261242000,155.47366392600205,Validated historical
2020-06-20,2020-06-26,53786000,9191345000,170.88731268359797,Validated historical
2020-06-28,2020-07-04,62811000,10467067000,166.6438521914951,Validated historical
2020-07-05,2020-07-11,58929000,6704612000,113.77440648916493,Validated historical
2020-07-12,2020-07-18,57092000,6529708000,114.37168079590836,Validated historical
2020-07-19,2020-07-25,57513000,6802955000,118.28551805678715,Validated historical
2020-07-26,2020-08-01,68315000,8196841000,119.9859620873893,Validated historical
2020-08-02,2020-08-08,57244000,6038164000,105.48116833205226,Validated historical
2020-08-09,2020-08-15,61057000,6738170000,110.35868123229113,Validated historical
2020-08-16,2020-08-22,58543000,6598093000,112.70507148591633,Validated historical
2020-08-23,2020-08-29,65156000,8548839000,131.20570630486833,Validated historical
2020-08-30,2020-09-05,69654000,8452834000,121.35460992907801,Validated historical
2020-09-06,2020-09-12,67353000,7331647000,108.85405252921177,Validated historical
2020-09-13,2020-09-19,64385000,6878859000,106.83946571406383,Validated historical
2020-09-20,2020-09-26,67003000,7677157000,114.57930241929466,Validated historical
2020-09-27,2020-10-03,75427000,9029472000,119.71140307847323,Validated historical
2020-10-04,2020-10-10,69849000,7394428000,105.86304743088662,Validated historical
2020-10-11,2020-10-17,68564000,6923797000,100.98297940610233,Validated historical
2020-10-18,2020-10-24,65150000,6712407000,103.03003837298542,Validated historical
2020-10-25,2020-10-31,77718000,9149055000,117.7211842816336,Validated historical
2020-11-01,2020-11-07,74869000,8077497000,107.88840508087459,Validated historical
2020-11-08,2020-11-14,73330000,7520741000,102.56022091913269,Validated historical
2020-11-15,2020-11-21,70091000,7229498000,103.14445506555764,Validated historical
2020-11-22,2020-11-28,76623000,8647581000,112.85881523824439,Validated historical
2020-11-29,2020-12-05,80816000,9004770000,111.42310928529004,Validated historical
2020-12-06,2020-12-12,76453000,7976889000,104.3371613932743,Validated historical
2020-12-13,2020-12-19,73145000,7484796000,102.32819741609133,Validated historical
2020-12-20,2020-12-26,72225000,7602041000,105.25498096227068,Validated historical
2020-12-27,2021-01-02,90695000,10738139000,118.39835713104361,Validated historical
2021-01-03,2021-01-09,81579000,8516478000,104.3954694222778,Validated historical
2021-01-10,2021-01-16,81146000,8184169000,100.85733123012841,Validated historical
